iter	Passed	Remaining
0	8	11994
1	13	10199
2	20	9995
3	26	9940
4	32	9674
5	37	9432
6	43	9183
7	49	9233
8	57	9479
9	63	9459
10	71	9633
11	78	9689
12	84	9667
13	90	9653
14	97	9638
15	103	9600
16	109	9563
17	114	9467
18	136	10670
19	141	10503
20	147	10376
21	153	10329
22	158	10210
23	164	10137
24	171	10139
25	176	10021
26	182	9972
27	188	9935
28	194	9857
29	201	9849
30	207	9853
31	213	9808
32	219	9775
33	225	9704
34	231	9669
35	237	9655
36	242	9606
37	249	9604
38	256	9596
39	262	9575
40	268	9552
41	274	9519
42	280	9520
43	288	9537
44	294	9515
45	300	9510
46	307	9504
47	313	9496
48	320	9498
49	327	9490
50	332	9455
51	338	9421
52	345	9421
53	351	9414
54	357	9386
55	363	9368
56	369	9352
57	374	9309
58	381	9309
59	386	9284
60	392	9248
61	398	9240
62	404	9232
63	411	9223
64	417	9223
65	423	9204
66	429	9182
67	434	9152
68	440	9135
69	447	9136
70	452	9110
71	458	9101
72	467	9135
73	475	9164
74	482	9164
75	487	9141
76	494	9144
77	501	9141
78	507	9135
79	514	9133
80	521	9140
81	528	9131
82	541	9239
83	545	9198
84	551	9181
85	559	9195
86	565	9189
87	572	9187
88	579	9185
89	585	9170
90	592	9170
91	598	9159
92	605	9154
93	611	9140
94	618	9142
95	624	9128
96	629	9105
97	634	9081
98	642	9085
99	647	9064
100	653	9050
101	659	9039
102	665	9022
103	670	9006
104	677	8995
105	682	8973
106	688	8964
107	694	8955
108	700	8934
109	706	8933
110	712	8917
111	719	8910
112	725	8908
113	732	8901
114	738	8896
115	744	8888
116	751	8884
117	758	8877
118	763	8858
119	769	8844
120	775	8838
121	780	8821
122	787	8814
123	790	8770
124	796	8761
125	802	8747
126	808	8737
127	814	8725
128	820	8716
129	826	8709
130	832	8697
131	838	8692
132	844	8682
133	852	8688
134	859	8686
135	866	8691
136	873	8686
137	891	8799
138	902	8832
139	910	8846
140	915	8826
141	920	8799
142	929	8816
143	937	8824
144	946	8847
145	954	8855
146	963	8864
147	972	8882
148	982	8910
149	990	8916
150	1000	8934
151	1007	8932
152	1014	8931
153	1021	8932
154	1032	8962
155	1047	9024
156	1071	9164
157	1101	9354
158	1111	9373
159	1118	9366
160	1129	9397
161	1138	9403
162	1147	9408
163	1154	9401
164	1162	9409
165	1168	9392
166	1175	9381
167	1181	9369
168	1187	9350
169	1193	9340
170	1199	9324
171	1205	9304
172	1211	9294
173	1218	9282
174	1224	9268
175	1230	9253
176	1235	9237
177	1242	9229
178	1249	9221
179	1256	9211
180	1262	9199
181	1270	9202
182	1280	9212
183	1296	9270
184	1305	9277
185	1310	9259
186	1316	9243
187	1323	9233
188	1329	9220
189	1335	9208
190	1341	9196
191	1347	9182
192	1353	9166
193	1359	9153
194	1366	9144
195	1372	9133
196	1379	9122
197	1385	9112
198	1391	9097
199	1397	9086
200	1403	9071
201	1409	9056
202	1414	9040
203	1421	9027
204	1427	9014
205	1432	8999
206	1439	8991
207	1445	8977
208	1451	8965
209	1458	8957
210	1463	8939
211	1470	8931
212	1476	8920
213	1483	8912
214	1489	8902
215	1494	8886
216	1500	8872
217	1506	8857
218	1511	8841
219	1517	8829
220	1523	8819
221	1529	8803
222	1535	8794
223	1541	8783
224	1548	8772
225	1553	8759
226	1559	8747
227	1566	8739
228	1573	8731
229	1578	8718
230	1584	8706
231	1590	8693
232	1596	8679
233	1601	8663
234	1606	8647
235	1611	8633
236	1618	8623
237	1624	8612
238	1631	8608
239	1637	8597
240	1642	8581
241	1649	8575
242	1655	8562
243	1661	8552
244	1667	8541
245	1673	8531
246	1679	8521
247	1686	8514
248	1692	8501
249	1698	8494
250	1706	8492
251	1713	8485
252	1720	8479
253	1726	8467
254	1732	8458
255	1737	8444
256	1743	8432
257	1749	8420
258	1754	8408
259	1761	8399
260	1767	8390
261	1773	8378
262	1780	8374
263	1786	8364
264	1793	8356
265	1798	8344
266	1804	8331
267	1810	8320
268	1816	8310
269	1821	8297
270	1827	8287
271	1833	8276
272	1838	8264
273	1846	8260
274	1851	8248
275	1857	8238
276	1863	8229
277	1870	8220
278	1877	8215
279	1883	8206
280	1889	8196
281	1894	8183
282	1899	8170
283	1905	8160
284	1912	8153
285	1917	8139
286	1922	8126
287	1928	8117
288	1934	8105
289	1940	8096
290	1946	8088
291	1952	8075
292	1957	8065
293	1963	8054
294	1969	8043
295	1975	8035
296	1981	8024
297	1986	8013
298	1992	8004
299	1999	7996
300	2005	7987
301	2011	7979
302	2017	7968
303	2024	7963
304	2030	7953
305	2035	7943
306	2041	7934
307	2047	7924
308	2053	7915
309	2059	7907
310	2064	7894
311	2071	7885
312	2076	7876
313	2081	7863
314	2088	7854
